player,position,x,y,minute,xg,outcome,shot_type,body_part,match_id
Aymeric Laporte,Left Center Back,113.5,46.0,80,0.09134299,Off T,Open Play,Head,3930172
Ayoze Pérez Gutiérrez,Left Wing,112.0,24.5,90,0.030097554,Saved,Open Play,Right Foot,3930172
Ayoze Pérez Gutiérrez,Left Wing,106.6,29.2,91,0.21283588,Saved,Open Play,Right Foot,3930172
Álvaro Borja Morata Martín,Center Forward,98.8,47.5,6,0.05367552,Saved,Open Play,Left Foot,3930160
Lamine Yamal Nasraoui Ebana,Right Wing,106.5,49.9,14,0.04807823,Saved Off Target,Open Play,Left Foot,3930160
Álvaro Borja Morata Martín,Center Forward,104.1,39.9,28,0.4253404,Goal,Open Play,Left Foot,3930160
Fabián Ruiz Peña,Left Defensive Midfield,103.9,38.7,31,0.056130085,Goal,Open Play,Left Foot,3930160
Robin Aime Robert Le Normand,Right Center Back,114.2,35.6,35,0.108392105,Blocked,Open Play,Head,3930160
Daniel Carvajal Ramos,Right Back,112.7,42.4,46,0.30100337,Goal,Open Play,Right Foot,3930160
Lamine Yamal Nasraoui Ebana,Right Wing,108.6,48.3,51,0.28168085,Saved,Open Play,Left Foot,3930160
Álvaro Borja Morata Martín,Center Forward,117.4,34.5,53,0.2103611,Wayward,Open Play,Other,3930160
Lamine Yamal Nasraoui Ebana,Right Wing,91.3,45.4,57,0.042338703,Blocked,Free Kick,Left Foot,3930160
Daniel Olmo Carvajal,Left Wing,93.9,39.0,73,0.027441183,Blocked,Open Play,Right Foot,3930160
Ferrán Torres García,Right Wing,109.6,57.8,87,0.012741043,Blocked,Open Play,Right Foot,3930160
